time,x,z,mag,evid,tempid
2019-03-13T05:14:49.650000Z,0.407,0.504,1.90621236754,19510,SGC2018yyczk_34942
2019-03-13T05:29:35.690000Z,0.461,0.423,1.66923762804,19513,SGC2018yyczk_34942
2019-03-13T06:07:40.160000Z,0.207,0.375,1.67868913532,19514,SGC2018yyczk_46457
2019-03-13T06:15:25.510000Z,0.337,0.461,1.56373101411,19517,SGC2018yyczk_51041
2019-03-13T06:44:48.610000Z,0.23,0.924,1.5170979762,19518,SGC2018yyczk_55024
2019-03-13T07:30:23.290000Z,0.156,0.46,2.51681202511,19519,SGC2018yyczk_51041
2019-03-13T08:15:18.540000Z,0.373,1.176,2.25738482622,19522,SGC2018yyczk_67417
2019-03-13T08:48:17.270000Z,0.102,0.915,2.1200258486,19523,SGC2018yyczk_67417
2019-03-13T09:23:02.590000Z,0.31,0.624,1.58514061402,19524,SGC2018yyczk_51041
2019-03-13T10:32:21.220000Z,0.204,0.502,1.7191477638,19525,SGC2018yyczk_34942
2019-03-13T11:43:13.550000Z,0.356,0.988,1.92209995108,19526,SGC2018yyczk_53066
2019-03-13T12:15:51.050000Z,0.209,0.51,1.95445219795,19527,SGC2018yyczk_34942
2019-03-13T12:57:27.260000Z,0.323,0.517,1.89922375077,19529,SGC2018yyczk_46457
2019-03-13T14:52:46.270000Z,0.256,1.086,1.79118809174,19530,SGC2018yyczk_55024
2019-03-13T15:47:52.930000Z,0.162,0.373,1.90228140828,19531,SGC2018yyczk_34942
2019-03-13T16:00:08.050000Z,0.204,0.288,1.92031560947,19532,SGC2018yyczk_34942
2019-03-13T16:09:59.870000Z,0.299,1.282,1.96923321208,19534,SGC2018yyczk_53066
2019-03-13T16:58:25.260000Z,0.2,0.539,1.97050637884,19535,SGC2018yyczk_34942
2019-03-13T17:21:40.330000Z,0.251,0.77,1.73404566935,19537,SGC2018yyczk_34942
2019-03-13T17:48:22.770000Z,0.338,0.564,1.80067140478,19539,SGC2018yyczk_55024
2019-03-13T18:03:49.270000Z,0.16,0.371,2.18184937657,19540,SGC2018yyczk_34942
2019-03-13T18:22:26.470000Z,0.232,0.171,1.83580256485,19541,SGC2018yyczk_34942
2019-03-13T19:58:30.310000Z,0.188,1.1,2.1645911839,19543,SGC2018yyczk_67417
2019-03-13T21:36:42.700000Z,0.211,0.956,1.96720034797,19544,SGC2018yyczk_55024
2019-03-13T22:54:00.840000Z,0.121,0.661,2.20558898915,19545,SGC2018yyczk_67417
2019-03-14T00:30:04.110000Z,0.234,1.247,1.99550414921,19546,SGC2018yyczk_55024
2019-03-14T01:12:23.050000Z,0.2,0.571,2.09349656929,19547,SGC2018yyczk_34942
